from;to;relationship
uvdl;cdu;1
uvdl;fh;2
lk;spd;1
lk;fh;2
cl;fhe;2
cl;fdp;1
ks;fhe;2
nr;cdu;1
nr;fhe;2
ks;fhe;2
lm;fhe;2
kd;fhe;2
ab;dg;1
ab;fhz;2
ft;fhz;2
am;fhz;2
al;fdp;1
al;fhz;2
rh;dg;1
rh;fhd;2
lk;spd;1
lk;fhd;2
cm;fhd;2
kp;fhd;2
rk;cdu;1
rk;fhd;2
cl;spd;1
cl;fhv;2
al;fdp;1
al;fhv;2
sb;fhv;2
ch;fhv;2
mw;fhv;2
os;spd;1
os;fhf;2
